# Inherited layer violations. This file may shrink, never grow.
# Regenerate only when removing entries: tools/ci/check_layering.py --write-baseline
code/client/cl_cgame.cpp:29: engine -> game  (#include "../ui/ui_shared.h")
code/client/client.h:29: engine -> render  (#include "../rd-common/tr_public.h")
code/client/client.h:32: engine -> game  (#include "../cgame/cg_public.h")
code/client/client_ui.h:27: engine -> game  (#include "../ui/ui_public.h")
code/client/snd_music.cpp:40: engine -> game  (#include "../game/genericparser2.h")
code/qcommon/common.cpp:39: engine -> render  (#include "../rd-common/tr_public.h")
code/qcommon/q_shared.cpp:26: engine -> game  (#include "../game/common_headers.h")
code/qcommon/q_shared.h:505: engine -> game  (#include "../game/surfaceflags.h")
code/qcommon/q_shared.h:513: engine -> game  (#include "../game/ghoul2_shared.h")
code/qcommon/q_shared.h:598: engine -> game  (#include "../game/channels.h")
code/qcommon/safe/memory.h:6: engine -> game  (#include "game/g_shared.h")
code/qcommon/tri_coll_test.h:33: engine -> game  (#include "../game/g_local.h")
code/qcommon/z_memman_pc.cpp:245: engine -> render  (#include "../rd-common/tr_public.h")
code/server/server.h:28: engine -> game  (#include "../game/g_public.h")
code/server/server.h:29: engine -> game  (#include "../game/bg_public.h")
code/server/sv_ccmds.cpp:27: engine -> game  (#include "../game/weapons.h")
code/server/sv_ccmds.cpp:28: engine -> game  (#include "../game/g_items.h")
code/server/sv_ccmds.cpp:29: engine -> game  (#include "../game/statindex.h")
code/server/sv_savegame.cpp:35: engine -> game  (#include "../game/statindex.h")
code/server/sv_savegame.cpp:36: engine -> game  (#include "../game/weapons.h")
code/server/sv_savegame.cpp:37: engine -> game  (#include "../game/g_items.h")
code/server/sv_world.cpp:34: engine -> game  (#include "../game/ghoul2_shared.h")
shared/qcommon/safe/files.cpp:5: engine -> game  (#include "game/g_shared.h")
shared/sdl/sdl_input.cpp:23: platform -> engine  (#include "qcommon/qcommon.h")
shared/sdl/sdl_input.cpp:24: platform -> engine  (#include "qcommon/q_shared.h")
shared/sdl/sdl_input.cpp:25: platform -> engine  (#include "client/client.h")
shared/sdl/sdl_sound.cpp:27: platform -> engine  (#include "qcommon/q_shared.h")
shared/sdl/sdl_sound.cpp:29: platform -> engine  (#include "client/client.h")
shared/sdl/sdl_sound.cpp:30: platform -> engine  (#include "client/snd_local.h")
shared/sdl/sdl_sound.h:21: platform -> engine  (#include "qcommon/q_shared.h")
shared/sdl/sdl_window.cpp:24: platform -> engine  (#include "qcommon/qcommon.h")
shared/sdl/sdl_window.cpp:25: platform -> render  (#include "rd-common/tr_types.h")
shared/sys/con_passive.cpp:22: platform -> engine  (#include "qcommon/q_shared.h")
shared/sys/con_tty.cpp:22: platform -> engine  (#include "qcommon/q_shared.h")
shared/sys/con_tty.cpp:24: platform -> engine  (#include "qcommon/qcommon.h")
shared/sys/con_win32.cpp:22: platform -> engine  (#include "qcommon/q_shared.h")
shared/sys/con_win32.cpp:24: platform -> engine  (#include "qcommon/qcommon.h")
shared/sys/sys_event.cpp:24: platform -> engine  (#include "qcommon/qcommon.h")
shared/sys/sys_local.h:23: platform -> engine  (#include "qcommon/qcommon.h")
shared/sys/sys_main.cpp:29: platform -> engine  (#include "qcommon/qcommon.h")
shared/sys/sys_public.h:23: platform -> engine  (#include "qcommon/q_shared.h")
shared/sys/sys_unix.cpp:38: platform -> engine  (#include "qcommon/qcommon.h")
shared/sys/sys_unix.cpp:39: platform -> engine  (#include "qcommon/q_shared.h")
shared/sys/sys_win32.cpp:21: platform -> engine  (#include "qcommon/game_version.h")
